A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
2,2,3,3,2,4,2,4,2,1,1,1,3,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=3) : 2·2^3=2^4"
2,2,4,4,2,5,2,5,2,1,1,1,4,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=4) : 2·2^4=2^5"
2,2,5,5,4,3,4,3,2,1,1,2,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=5) : 2·2^5=4^3"
2,2,5,5,2,6,2,6,2,1,1,1,5,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=5) : 2·2^5=2^6"
2,2,6,6,2,7,2,7,2,1,1,1,6,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=6) : 2·2^6=2^7"
2,2,7,7,4,4,4,4,2,1,1,2,4,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=7) : 2·2^7=4^4"
2,2,7,7,2,8,2,8,2,1,1,1,7,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=7) : 2·2^7=2^8"
2,2,8,8,8,3,8,3,2,1,1,4,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=8) : 2·2^8=2^9"
2,2,8,8,2,9,2,9,2,1,1,1,8,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=8) : 2·2^8=2^9"
2,2,9,9,2,10,2,10,2,1,1,1,9,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=9) : 2·2^9=2^10"
2,2,9,9,4,5,4,5,2,1,1,2,5,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=9) : 2·2^9=4^5"
4,4,10,10,128,3,2,7,4,1,1,32,3,7,7,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=4,k=10) : 2·4^10=2^21"
